# Interval times for variable: Distance
# Criterion: var lowbound :0[R_V]
# Criterion: var upbound  :4[R_V]
     12.080100010000     12.080102090000
     12.080123310000     12.080202090000
     12.080223310000     12.080302090000
     12.080323310000     12.080402080000
     12.080423310000     12.080502080000
     12.080523300000     12.080602080000
     12.080623300000     12.080702080000
     12.080723300000     12.080802066000
     12.080823300000     12.080902066000
     12.080923286000     12.081002066000
     12.081023286000     12.081102066000
     12.081123286000     12.081202056000
     12.081223286000     12.081302056000
     12.081323276000     12.081402056000
     12.081423276000     12.081502056000
     12.081523276000     12.081602046000
     12.081623276000     12.081702046000
     12.081723270000     12.081802046000
     12.081823270000     12.081902046000
     12.081923270000     12.082002040000
     12.082023270000     12.082102040000
     12.082123260000     12.082202040000
     12.082223260000     12.082302040000
     12.082323260000     12.082402030000
     12.082423260000     12.082502030000
     12.082523250000     12.082602030000
     12.082623250000     12.082702030000
     12.082723250000     12.082802020000
     12.082823240000     12.082902020000
     12.082923240000     12.083002020000
     12.083023240000     12.083102010000
